symbol,n_tree,point_ic_tree,ci_lower_tree,ci_upper_tree,passes_tree,p_value_tree,p_value_fdr_tree,passes_fdr_significant_tree,passes_fdr_tree,n_linear,point_ic_linear,ci_lower_linear,ci_upper_linear,passes_linear,p_value_linear,p_value_fdr_linear,passes_fdr_significant_linear,passes_fdr_linear,n_baseline,point_ic_baseline,ci_lower_baseline,ci_upper_baseline,passes_baseline,p_value_baseline,p_value_fdr_baseline,passes_fdr_significant_baseline,passes_fdr_baseline
IWM,316934,0.022139737273138175,0.01868366354051923,0.026035183103760847,True,0.0,0.0,True,True,316934,0.017431072567848174,0.013757057977941552,0.020875276435333656,True,0.0,0.0,True,True,316934,-0.013529246826611935,-0.017390655631355237,-0.009926830216439888,False,2.5979218776228663e-14,9.89684524808711e-14,True,False
IYT,302018,0.014744303684645396,0.010725128117444954,0.01907161748012079,True,4.440892098500626e-16,5.302557729552986e-16,True,True,302018,0.00470194343447792,0.0011107325534129102,0.008893474979674564,True,0.009765858084637813,0.011660726071209328,True,True,302018,0.002568623809615363,-0.00128524593418686,0.006103489343883997,False,0.1580637632959716,0.203953242962544,False,False
KRE,316894,0.011210849135158303,0.007818855017165217,0.015231586050347965,True,2.7699686988569283e-10,2.954633278780724e-10,True,True,316894,0.004471806148128358,0.001217341843179094,0.008566219994836435,True,0.011824746653953389,0.01391146665170987,True,True,316894,-0.0007615156861636517,-0.004563481719544417,0.002419308476725023,False,0.6681554063661774,0.7126991001239226,False,False
KWEB,210342,0.0378652182386793,0.032990571655833564,0.043236030861619465,True,0.0,0.0,True,True,210342,-0.004345430152427865,-0.008575523489411018,0.000676869706449256,False,0.046267505753315286,0.051408339725905874,False,False,210342,0.010378516620487716,0.005880692736031446,0.01457481515728967,True,1.9358826595095024e-06,3.971041352840005e-06,True,True
LQD,316925,0.0654940525827263,0.0617326985141685,0.06933425863094866,True,0.0,0.0,True,True,316925,0.024754627052897746,0.02105798152449286,0.028778249670957746,True,0.0,0.0,True,True,316925,-0.012030206222172055,-0.015670330836267142,-0.008422805953158061,False,1.2635448243258907e-11,4.04334343784285e-11,True,False
MCHI,192001,0.01445330260982271,0.009318904183546112,0.019444170175947777,True,2.3977642094052953e-10,2.5921775236814005e-10,True,True,192001,-0.000648507224237517,-0.005479271938804179,0.004488169444170117,False,0.7762873477076953,0.7762873477076953,False,False,192001,0.0046234042017555,-0.00036820616678964236,0.00984207103671713,False,0.042777377226893565,0.06111053889556224,False,False
MTUM,212273,0.023100024670222295,0.01879333743042185,0.02794114501907647,True,0.0,0.0,True,True,212273,0.006219805534263747,0.001857447507528276,0.011285372208218526,True,0.00416130804473247,0.005201635055915588,True,True,212273,-0.004900400262172364,-0.009411814109068542,-0.00020893891293355683,False,0.023960234316621642,0.03758468128097513,True,False
MUB,305598,0.2555821583715229,0.2503136054400983,0.2608784960352814,True,0.0,0.0,True,True,305598,0.08000700709285044,0.07596085198882883,0.0843145701808207,True,0.0,0.0,True,True,305598,-0.015442028305461476,-0.01904296402136656,-0.011952289267531238,False,0.0,0.0,True,False
OIH,271557,0.015026131628089513,0.010745684905499663,0.01915750124450945,True,4.884981308350689e-15,5.7470368333537516e-15,True,True,271557,-0.0012612534273595568,-0.0054699587167028225,0.0025075355753675136,False,0.5110197530651501,0.5309296135741819,False,False,271557,0.0006425601799250739,-0.0031927756389932395,0.004982698944193832,False,0.7377428639003623,0.7566593475901151,False,False
PFF,163042,0.18130491493750467,0.17356076213431973,0.1875103176474812,True,0.0,0.0,True,True,163042,0.06783027200945288,0.06142225872745554,0.07319040893812308,True,0.0,0.0,True,True,163042,0.004631735106014626,2.960256223865892e-05,0.009948710725003829,True,0.061453414974471876,0.08476333099927155,False,False
PPLT,222231,0.12709288848137182,0.12314760293973391,0.1314203174585345,True,0.0,0.0,True,True,222231,0.04682622122130052,0.04240204528509356,0.0511926889751256,True,0.0,0.0,True,True,222231,-0.007326299465447475,-0.011848924717580187,-0.003378833118068228,False,0.0005528581938316623,0.000941035223543255,True,False
QQQ,316890,0.02491764306767195,0.02158115105185241,0.02850573640362253,True,0.0,0.0,True,True,316890,0.022475099455337818,0.019005191979975068,0.02614581455192667,True,0.0,0.0,True,True,316890,-0.018087600541750248,-0.021782549174660003,-0.014808342972691114,False,0.0,0.0,True,False
QUAL,208232,0.02436184048468592,0.019754276555943247,0.029136312206316878,True,0.0,0.0,True,True,208232,0.008689874589788232,0.004156040931197604,0.013637217200476772,True,7.325660462620398e-05,9.93309893236664e-05,True,True,208232,-0.00488187342349892,-0.008821816604129304,-0.00038520115500861684,False,0.025899320208713883,0.039845108013405975,True,False
RSP,316428,0.0175698702517362,0.014009425670685575,0.021171737450798315,True,0.0,0.0,True,True,316428,0.011112198062637541,0.008085562670218063,0.014701152966772964,True,4.07847089434199e-10,6.274570606679984e-10,True,True,316428,-0.010360960795362827,-0.013818274019227281,-0.006957975198319142,False,5.596997976198281e-09,1.492532793652875e-08,True,False
SCHD,269530,0.1390972419665048,0.13449449988851728,0.14408715415078732,True,0.0,0.0,True,True,269530,0.04451935499196229,0.039723804921122034,0.04896625004104126,True,0.0,0.0,True,True,269530,-0.003170560165237029,-0.007181629118959248,0.00044704637509421295,False,0.09975689170497337,0.13082871043275196,False,False
SDOG,195907,0.04562750447570687,0.040361662354295884,0.050519582007081294,True,0.0,0.0,True,True,195907,0.0035072868731412785,-0.0008296306792688462,0.008007181653622047,False,0.12057406780233149,0.1303503435700881,False,False,195907,0.0015962961163043065,-0.0031021201439779067,0.005683347754568047,False,0.47985321019770044,0.5187602272407572,False,False
SHY,162997,0.3604713160169404,0.3536557628666701,0.3672350579896977,True,0.0,0.0,True,True,162997,0.17011704726902913,0.16358267707786905,0.17615313451196693,True,0.0,0.0,True,True,162997,-0.0033365620938953988,-0.008336460125069738,0.0013834498406988965,False,0.17796095436628567,0.2224511929578571,False,False
SLV,316936,0.0914472876931633,0.08749088776622542,0.09546539019591532,True,0.0,0.0,True,True,316936,0.045479634974990614,0.042041603105420905,0.0492249922838558,True,0.0,0.0,True,True,316936,-0.02604203786639093,-0.029530590755842634,-0.02248434989944924,False,0.0,0.0,True,False
SMH,272011,0.0271989686658685,0.023567093726216157,0.030973257082182452,True,0.0,0.0,True,True,272011,0.01582139130777017,0.01190972635934592,0.01984749101151768,True,2.220446049250313e-16,3.861645303044023e-16,True,True,272011,-0.009936525519517708,-0.01400145227754523,-0.006163216901265384,False,2.189706069799513e-07,4.609907515367396e-07,True,False
SPHB,200585,0.012260788196541968,0.007777134845862775,0.017119885740783936,True,3.988128161047655e-08,4.143509777711849e-08,True,True,200585,-0.006375791452868219,-0.011161311807940876,-0.0022459710819895153,False,0.004296656741894278,0.0052881929131006495,True,False,200585,0.004725482729042452,0.0006318640844465302,0.009157132430478544,True,0.034311890456480976,0.050832430305897736,False,False
SPY,316929,0.025097227292991534,0.0217413918953123,0.02865013285687283,True,0.0,0.0,True,True,316929,0.02795417585874874,0.024590742892815598,0.03175678999972628,True,0.0,0.0,True,True,316929,-0.02279183080239461,-0.026493281452670308,-0.019254157819160653,False,0.0,0.0,True,False
TIP,316807,0.08688391904826656,0.08262159744381305,0.0909264922646934,True,0.0,0.0,True,True,316807,0.028349843322401758,0.024654425872453683,0.032128572631704065,True,0.0,0.0,True,True,316807,-0.014504365282196093,-0.018103129151607254,-0.011008827639383056,False,2.220446049250313e-16,9.349246523159212e-16,True,False
TLT,192137,-0.0014125510781466699,-0.005964896263553659,0.0031369332503988624,False,0.535807050193466,0.535807050193466,False,False,192137,0.014154096798978047,0.009660528850751224,0.01886487304646178,True,5.48720624493626e-10,8.282575464054732e-10,True,True,192137,-0.009876242248075387,-0.014571672959999478,-0.004670658471117128,False,1.4966991576992328e-05,2.9203886003887473e-05,True,False
USMV,258279,0.053292186302313305,0.04900217838370849,0.05796292445926407,True,0.0,0.0,True,True,258279,0.020288659745271408,0.01657638882103074,0.023693159227333123,True,0.0,0.0,True,True,258279,-0.006876833005996691,-0.010483873760607445,-0.002959149888646299,False,0.00047422073730829517,0.0008247317170579047,True,False
