symbol,n_tree,point_ic_tree,ci_lower_tree,ci_upper_tree,passes_tree,p_value_tree,p_value_fdr_tree,passes_fdr_significant_tree,passes_fdr_tree,n_baseline,point_ic_baseline,ci_lower_baseline,ci_upper_baseline,passes_baseline,p_value_baseline,p_value_fdr_baseline,passes_fdr_significant_baseline,passes_fdr_baseline
XLB,98733,0.3654702185961867,0.35949738946757065,0.3714728904795153,True,0.0,0.0,True,True,98733,0.08647892636324589,0.08065456426462336,0.09197039338907789,True,0.0,0.0,True,True
XLC,48608,0.37097304061262654,0.36266264626234446,0.379696155725068,True,0.0,0.0,True,True,48608,0.08803726281040539,0.0794313839335395,0.09641545571986877,True,0.0,0.0,True,True
XLE,98733,0.37032139043630524,0.36487945725911364,0.37606007143182935,True,0.0,0.0,True,True,98733,0.08996887354133308,0.0847421782619825,0.09497160978443488,True,0.0,0.0,True,True
XLF,98733,0.36379006949007225,0.35780878474251954,0.37031887057385204,True,0.0,0.0,True,True,98733,0.08348928532663577,0.07766670546337394,0.08946037526216895,True,0.0,0.0,True,True
XLI,98733,0.36399281583305126,0.35762938034755853,0.3702940942300609,True,0.0,0.0,True,True,98733,0.08677855212111076,0.08135854850194557,0.09245781039238626,True,0.0,0.0,True,True
XLK,98733,0.36085736206430946,0.355270902836478,0.3667225716874908,True,0.0,0.0,True,True,98733,0.0853328132026057,0.07991148408199511,0.09120602108315691,True,0.0,0.0,True,True
XLP,98733,0.37270341649482935,0.36686425404695616,0.37822617497050726,True,0.0,0.0,True,True,98733,0.08417969892662357,0.07936676319043036,0.08991540146472261,True,0.0,0.0,True,True
XLRE,61958,0.36895179360668007,0.36082633058910935,0.37674193565543,True,0.0,0.0,True,True,61958,0.08865230742031267,0.08177322416331095,0.09566169225439256,True,0.0,0.0,True,True
XLU,98733,0.30539522013134457,0.29922935057391253,0.3114307665679356,True,0.0,0.0,True,True,98733,0.07405039175907614,0.06806377691165238,0.07959884290355247,True,0.0,0.0,True,True
XLV,98733,0.29782962911204497,0.29091798913854616,0.3041658445964991,True,0.0,0.0,True,True,98733,0.0734509721337754,0.0676634134758862,0.07921949629645203,True,0.0,0.0,True,True
XLY,98732,0.3665730776561645,0.3609187682098907,0.3725608921953242,True,0.0,0.0,True,True,98732,0.09070121844682714,0.08538540833514702,0.09641745286405791,True,0.0,0.0,True,True
XOP,98732,0.3807611974061692,0.37535589398718683,0.3866424338001037,True,0.0,0.0,True,True,98732,0.09842775955872904,0.09286728383631403,0.10361764564351135,True,0.0,0.0,True,True
XRT,98732,0.37423521589209197,0.36835381533630634,0.37981600844140767,True,0.0,0.0,True,True,98732,0.09211389378330703,0.08671556596066608,0.09773782557766465,True,0.0,0.0,True,True
