symbol,industry,category,subcategory,long_name,status,detail,fetched_at
CCJ,Basic Materials,Mining,Non-Ferrous Metals,CAMECO CORP,ok,,2026-09-25T12:49:51.511202Z
CENT,"Consumer, Cyclical",Housewares,Housewares,CENTRAL GARDEN & PET CO,ok,,2026-09-25T12:49:51.528599Z
CMCSA,Communications,Media,Cable/Satellite TV,COMCAST CORP-CLASS A,ok,,2026-09-25T12:49:51.543784Z
COFS,Financial,Banks,Commer Banks-Central US,CHOICEONE FINANCIAL SVCS INC,ok,,2026-09-25T12:49:51.559142Z
COIN,Financial,Diversified Finan Serv,Finance-Other Services,COINBASE GLOBAL INC -CLASS A,ok,,2026-09-25T12:49:51.574796Z
COP,Energy,Oil&Gas,Oil Comp-Explor&Prodtn,CONOCOPHILLIPS,ok,,2026-09-25T12:49:51.591422Z
COST,"Consumer, Cyclical",Retail,Retail-Discount,COSTCO WHOLESALE CORP,ok,,2026-09-25T12:49:51.608281Z
CRI,"Consumer, Cyclical",Apparel,Apparel Manufacturers,CARTER'S INC,ok,,2026-09-25T12:49:51.628042Z
CRM,Technology,Software,Enterprise Software/Serv,SALESFORCE INC,ok,,2026-09-25T12:49:51.644911Z
CRSP,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,CRISPR THERAPEUTICS AG,ok,,2026-09-25T12:49:51.663803Z
CRUS,Technology,Semiconductors,Semicon Compo-Intg Circu,CIRRUS LOGIC INC,ok,,2026-09-25T12:49:51.678596Z
CRWD,Technology,Computers,Computer Data Security,CROWDSTRIKE HOLDINGS INC - A,ok,,2026-09-25T12:49:51.696085Z
CRWV,Technology,Software,Computer Software,COREWEAVE INC-CL A,ok,,2026-09-25T12:49:51.711186Z
CSTM,Basic Materials,Mining,Metal-Aluminum,CONSTELLIUM SE,ok,,2026-09-25T12:49:51.726349Z
CSX,Industrial,Transportation,Transport-Rail,CSX CORP,ok,,2026-09-25T12:49:51.742783Z
CTVA,"Consumer, Non-cyclical",Biotechnology,Agricultural Biotech,CORTEVA INC,ok,,2026-09-25T12:49:51.759250Z
CVS,"Consumer, Non-cyclical",Pharmaceuticals,Pharmacy Services,CVS HEALTH CORP,ok,,2026-09-25T12:49:51.774459Z
CVX,Energy,Oil&Gas,Oil Comp-Integrated,CHEVRON CORP,ok,,2026-09-25T12:49:51.792006Z
DAL,"Consumer, Cyclical",Airlines,Airlines,DELTA AIR LINES INC.,ok,,2026-09-25T12:49:51.807476Z
DAR,"Consumer, Non-cyclical",Agriculture,Pastoral&Agricultural,DARLING INGREDIENTS INC,ok,,2026-09-25T12:49:51.824029Z
DD,Industrial,Miscellaneous Manufactur,Diversified Manufact Op,DUPONT DE NEMOURS INC,ok,,2026-09-25T12:49:52.077729Z
DE,Industrial,Machinery-Diversified,Machinery-Farm,DEERE & CO,ok,,2026-09-25T12:49:52.095311Z
DHI,"Consumer, Cyclical",Home Builders,Bldg-Residential/Commer,DR HORTON INC,ok,,2026-09-25T12:49:52.114093Z
DIS,Communications,Media,Multimedia,WALT DISNEY CO/THE,ok,,2026-09-25T12:49:52.131359Z
DOCS,Technology,Software,Medical Information Sys,DOXIMITY INC-CLASS A,ok,,2026-09-25T12:49:52.147372Z
DOW,Basic Materials,Chemicals,Chemicals-Diversified,DOW INC,ok,,2026-09-25T12:49:52.166925Z
DUK,Utilities,Electric,Electric-Integrated,DUKE ENERGY CORP,ok,,2026-09-25T12:49:52.184065Z
ECL,Basic Materials,Chemicals,Chemicals-Specialty,ECOLAB INC,ok,,2026-09-25T12:49:52.200426Z
ELV,"Consumer, Non-cyclical",Healthcare-Services,Medical-HMO,ELEVANCE HEALTH INC,ok,,2026-09-25T12:49:52.220930Z
EMR,Industrial,Electronics,Electronic Measur Instr,EMERSON ELECTRIC CO,ok,,2026-09-25T12:49:52.241108Z
ENPH,Energy,Energy-Alternate Sources,Energy-Alternate Sources,ENPHASE ENERGY INC,ok,,2026-09-25T12:49:52.262702Z
EPD,Energy,Pipelines,Pipelines,ENTERPRISE PRODUCTS PARTNERS,ok,,2026-09-25T12:49:52.279383Z
EQIX,Financial,REITS,REITS-Diversified,EQUINIX INC,ok,,2026-09-25T12:49:52.294439Z
ETR,Utilities,Electric,Electric-Integrated,ENTERGY CORP,ok,,2026-09-25T12:49:52.310875Z
EXEL,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,EXELIXIS INC,ok,,2026-09-25T12:49:52.368861Z
F,"Consumer, Cyclical",Auto Manufacturers,Auto-Cars/Light Trucks,FORD MOTOR CO,ok,,2026-09-25T12:49:52.387904Z
FCX,Basic Materials,Mining,Metal-Copper,FREEPORT-MCMORAN INC,ok,,2026-09-25T12:49:52.408838Z
FDX,Industrial,Transportation,Transport-Services,FEDEX CORPORATION,ok,,2026-09-25T12:49:52.428131Z
