iShares Russell 3000 ETF
Fund Holdings as of,"Sep 14, 2026"
Inception Date,"May 22, 2000"
Shares Outstanding,"46,750,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"HOOD","ROBINHOOD MARKETS CLASS A","Financials","Equity","24,149,811.57","0.12","24,149,811.57","211,229.00","114.33","United States","NASDAQ","USD","1.00","USD","-"
"SPOT","SPOTIFY TECHNOLOGY","Communication","Equity","24,136,065.66","0.12","24,136,065.66","43,386.00","556.31","Sweden","NYSE","USD","1.00","USD","-"
"MRSH","MARSH","Financials","Equity","23,908,959.73","0.12","23,908,959.73","132,511.00","180.43","United States","NYSE","USD","1.00","USD","-"
"CEG","CONSTELLATION ENERGY CORP","Utilities","Equity","23,452,807.65","0.12","23,452,807.65","88,645.00","264.57","United States","NASDAQ","USD","1.00","USD","-"
"JCI","JOHNSON CONTROLS INTERNATIONAL PLC","Industrials","Equity","23,247,688.80","0.12","23,247,688.80","168,755.00","137.76","United States","NYSE","USD","1.00","USD","-"
"MMM","3M","Industrials","Equity","23,241,444.96","0.12","23,241,444.96","143,448.00","162.02","United States","NYSE","USD","1.00","USD","-"
"EMR","EMERSON ELECTRIC","Industrials","Equity","23,089,568.50","0.11","23,089,568.50","155,695.00","148.30","United States","NYSE","USD","1.00","USD","-"
"AMT","AMERICAN TOWER REIT","Real Estate","Equity","22,657,167.00","0.11","22,657,167.00","128,050.00","176.94","United States","NYSE","USD","1.00","USD","-"
"WM","WASTE MANAGEMENT INC","Industrials","Equity","22,324,346.67","0.11","22,324,346.67","102,363.00","218.09","United States","NYSE","USD","1.00","USD","-"
"REGN","REGENERON PHARMACEUTICALS","Health Care","Equity","22,246,150.98","0.11","22,246,150.98","28,027.00","793.74","United States","NASDAQ","USD","1.00","USD","-"
"APP","APPLOVIN CLASS A","Communication","Equity","22,147,745.12","0.11","22,147,745.12","66,263.00","334.24","United States","NASDAQ","USD","1.00","USD","-"
"TRV","TRAVELERS COMPANIES","Financials","Equity","22,018,766.15","0.11","22,018,766.15","58,243.00","378.05","United States","NYSE","USD","1.00","USD","-"
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Consumer Staples","Equity","22,005,202.56","0.11","22,005,202.56","352,704.00","62.39","United States","NASDAQ","USD","1.00","USD","-"
"SLB","SLB","Energy","Equity","21,902,416.36","0.11","21,902,416.36","410,773.00","53.32","United States","NYSE","USD","1.00","USD","-"
"EOG","EOG RESOURCES","Energy","Equity","21,851,570.86","0.11","21,851,570.86","147,109.00","148.54","United States","NYSE","USD","1.00","USD","-"
"MSI","MOTOROLA SOLUTIONS INC","Information Technology","Equity","21,730,326.16","0.11","21,730,326.16","45,832.00","474.13","United States","NYSE","USD","1.00","USD","-"
"GM","GENERAL MOTORS","Consumer Discretionary","Equity","21,708,679.72","0.11","21,708,679.72","249,067.00","87.16","United States","NYSE","USD","1.00","USD","-"
"SPCX","SPACE EXPLORATION TECHNOLOGIES COR","Communication","Equity","21,533,306.20","0.11","21,533,306.20","145,348.00","148.15","United States","NASDAQ","USD","1.00","USD","-"
"ITW","ILLINOIS TOOL INC","Industrials","Equity","21,264,652.56","0.11","21,264,652.56","79,039.00","269.04","United States","NYSE","USD","1.00","USD","-"
"CDNS","CADENCE DESIGN SYSTEMS","Information Technology","Equity","21,142,980.90","0.10","21,142,980.90","75,765.00","279.06","United States","NASDAQ","USD","1.00","USD","-"
"UPS","UNITED PARCEL SERVICE INC CLASS B","Industrials","Equity","21,022,537.88","0.10","21,022,537.88","205,178.00","102.46","United States","NYSE","USD","1.00","USD","-"
