iShares Core S&P 500 ETF
Fund Holdings as of,"Sep 23, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"1,139,550,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"HPE","HEWLETT PACKARD ENTERPRISE","Information Technology","Equity","1,095,364,357.90","0.12","1,095,364,357.90","17,573,630.00","62.33","United States","NYSE","USD","1.00","USD","-"
"MRSH","MARSH","Financials","Equity","1,079,065,609.44","0.12","1,079,065,609.44","6,333,288.00","170.38","United States","NYSE","USD","1.00","USD","-"
"BE","BLOOM ENERGY CLASS A","Industrials","Equity","1,075,672,303.65","0.12","1,075,672,303.65","3,908,835.00","275.19","United States","NYSE","USD","1.00","USD","-"
"TMUS","T MOBILE US INC","Communication","Equity","1,061,221,770.18","0.12","1,061,221,770.18","6,406,023.00","165.66","United States","NASDAQ","USD","1.00","USD","-"
"CMCSA","COMCAST CLASS A","Communication","Equity","1,059,138,547.50","0.12","1,059,138,547.50","46,968,450.00","22.55","United States","NASDAQ","USD","1.00","USD","-"
"AMT","AMERICAN TOWER REIT","Real Estate","Equity","1,056,036,915.80","0.12","1,056,036,915.80","6,183,610.00","170.78","United States","NYSE","USD","1.00","USD","-"
"SNPS","SYNOPSYS","Information Technology","Equity","1,049,624,700.70","0.12","1,049,624,700.70","2,541,095.00","413.06","United States","NASDAQ","USD","1.00","USD","-"
"REGN","REGENERON PHARMACEUTICALS","Health Care","Equity","1,043,311,345.78","0.12","1,043,311,345.78","1,301,179.00","801.82","United States","NASDAQ","USD","1.00","USD","-"
"INTU","INTUIT","Information Technology","Equity","1,041,201,014.40","0.12","1,041,201,014.40","3,630,408.00","286.80","United States","NASDAQ","USD","1.00","USD","-"
"MDLZ","MONDELEZ INTERNATIONAL CLASS A","Consumer Staples","Equity","1,040,660,090.88","0.12","1,040,660,090.88","16,937,827.00","61.44","United States","NASDAQ","USD","1.00","USD","-"
"WM","WASTE MANAGEMENT INC","Industrials","Equity","1,025,604,875.32","0.12","1,025,604,875.32","4,933,639.00","207.88","United States","NYSE","USD","1.00","USD","-"
"WBD","WARNER BROS. DISCOVERY SERIES A","Communication","Equity","1,024,912,741.60","0.12","1,024,912,741.60","33,319,660.00","30.76","United States","NASDAQ","USD","1.00","USD","-"
"SLB","SLB","Energy","Equity","1,021,611,290.70","0.12","1,021,611,290.70","19,695,610.00","51.87","United States","NYSE","USD","1.00","USD","-"
"MSI","MOTOROLA SOLUTIONS INC","Information Technology","Equity","1,011,264,372.00","0.11","1,011,264,372.00","2,196,300.00","460.44","United States","NYSE","USD","1.00","USD","-"
"MAR","MARRIOTT INTERNATIONAL CLASS A","Consumer Discretionary","Equity","997,912,966.86","0.11","997,912,966.86","2,837,721.00","351.66","United States","NASDAQ","USD","1.00","USD","-"
"TRV","TRAVELERS COMPANIES","Financials","Equity","997,574,656.38","0.11","997,574,656.38","2,768,042.00","360.39","United States","NYSE","USD","1.00","USD","-"
"ROST","ROSS STORES INC","Consumer Discretionary","Equity","996,071,578.40","0.11","996,071,578.40","4,257,080.00","233.98","United States","NASDAQ","USD","1.00","USD","-"
"SHW","SHERWIN WILLIAMS","Materials","Equity","988,552,873.08","0.11","988,552,873.08","3,028,098.00","326.46","United States","NYSE","USD","1.00","USD","-"
"EOG","EOG RESOURCES","Energy","Equity","987,335,332.56","0.11","987,335,332.56","6,960,909.00","141.84","United States","NYSE","USD","1.00","USD","-"
